price_level,code_postal,open,options,description
,37241,ouvert_dimanche_matin,,"Restaurant libanais/levantin avec mezzés variés, options végétariennes et vegan, pain chaud servi en continu. Je privilégie une ambiance familiale, musique douce, et un service le soir jusqu’à 22h30. J’apprécie les terrasses couvertes quand il pleut."
3,37100,ouvert_dimanche_midi,"[""servesBrunch"", ""servesDinner"", ""servesLunch""]","Pizzeria de quartier non industrielle, pâte légère, cuisson au four à bois. Option terrasse l’été, service souriant, pas d’attente interminable. Idéalement à moins de 20 minutes en transport, avec stationnement pas trop compliqué aux alentours."
,37843,ouvert_lundi_matin,"[""reservable""]","japonais rapide, à emporter"
4,37600,ouvert_lundi_midi,"[""goodForGroups"", ""goodForWatchingSports"", ""outdoorSeating"", ""servesDinner"", ""servesVegetarianFood""]",
2,37000,ouvert_lundi_apres_midi,,"Restaurant libanais/levantin avec mezzés variés, options végétariennes et vegan, pain chaud servi en continu. Je privilégie une ambiance familiale, musique douce, et un service le soir jusqu’à 22h30. J’apprécie les terrasses couvertes quand il pleut."
1,37600,ouvert_lundi_soir,,"rôtisserie, à emporter"
3,37400,ouvert_mardi_matin,"[""allowsDogs"", ""outdoorSeating"", ""servesBreakfast"", ""servesBrunch"", ""servesLunch""]",
,37000,ouvert_mardi_midi,,"Restaurant libanais/levantin avec mezzés variés, options végétariennes et vegan, pain chaud servi en continu. Je privilégie une ambiance familiale, musique douce, et un service le soir jusqu’à 22h30. J’apprécie les terrasses couvertes quand il pleut."
3,37437,ouvert_mardi_apres_midi,"[""goodForGroups""]","Restaurant de poissons et fruits de mer, arrivages du jour, cuisson précise. Cadre élégant, possibilité de s’installer au calme. Je cherche une adresse recommandée pour la fraîcheur et la régularité, avec carte des vins correcte et conseils avisés."
3,37072,ouvert_mardi_soir,"[""delivery"", ""servesBreakfast"", ""servesVegetarianFood""]","Je cherche un restaurant terrasse, budget moyen, accès simple, produits frais, convivial, calme, réservable. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
4,37600,ouvert_mercredi_matin,,
2,37300,ouvert_mercredi_midi,"[""allowsDogs"", ""servesDinner"", ""servesVegetarianFood""]","mexicain, margaritas"
2,37300,ouvert_mercredi_apres_midi,,"Je cherche un restaurant service rapide, terrasse, calme, musique discrète, produits frais. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
1,37000,ouvert_mercredi_soir,"[""goodForWatchingSports"", ""restroom"", ""servesBreakfast"", ""servesDinner"", ""servesVegetarianFood""]",brasserie avec menu du jour
,37600,ouvert_jeudi_matin,"[""goodForChildren"", ""outdoorSeating"", ""restroom"", ""servesLunch"", ""servesVegetarianFood""]","libanais, terrasse couverte"
2,37767,ouvert_jeudi_midi,"[""outdoorSeating"", ""restroom"", ""servesLunch""]","mexicain, margaritas"
4,37842,ouvert_vendredi_midi,"[""goodForChildren"", ""goodForGroups"", ""servesBreakfast""]","Restaurant libanais/levantin avec mezzés variés, options végétariennes et vegan, pain chaud servi en continu. Je privilégie une ambiance familiale, musique douce, et un service le soir jusqu’à 22h30. J’apprécie les terrasses couvertes quand il pleut."
2,37170,ouvert_vendredi_apres_midi,,"Adresse pour brunch tardif le dimanche: bons œufs, alternatives sans gluten, café de spécialité. Je souhaite une terrasse ou véranda lumineuse, prises électriques pour recharger, et Wi-Fi stable. Prix raisonnables et possibilité de partager de grandes tables."
3,37000,ouvert_samedi_apres_midi,"[""goodForChildren"", ""outdoorSeating"", ""reservable""]","Adresse pour brunch tardif le dimanche: bons œufs, alternatives sans gluten, café de spécialité. Je souhaite une terrasse ou véranda lumineuse, prises électriques pour recharger, et Wi-Fi stable. Prix raisonnables et possibilité de partager de grandes tables."
4,37600,ouvert_samedi_soir,"[""goodForChildren"", ""outdoorSeating"", ""servesBreakfast"", ""servesBrunch""]","Je cherche un restaurant produits frais, musique discrète, convivial, service rapide, budget moyen, réservable. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
4,37540,ouvert_mardi_midi,"[""allowsDogs"", ""servesBreakfast"", ""servesBrunch"", ""servesDinner""]","Je cherche un restaurant terrasse, réservable, musique discrète, accès simple. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
1,37700,ouvert_dimanche_matin,"[""allowsDogs"", ""delivery"", ""goodForChildren"", ""goodForGroups"", ""outdoorSeating""]","Burger maison avec pain brioché, frites croustillantes, alternatives végétariennes. Je veux un lieu propre, efficace, avec des sauces maison et une vraie salade. Pas d’écrans partout; je privilégie la qualité des produits et la courtoisie du service."
2,37540,ouvert_vendredi_apres_midi,,"Je cherche un restaurant service rapide, budget moyen, options végétariennes, produits frais, accès simple, convivial, calme. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
2,37309,,"[""delivery"", ""servesDinner""]","Un bistro français authentique, atmosphère cosy, personnel attentionné. Je préfère une carte courte, des produits locaux et un plat du jour. Accessibilité correcte (poussette) et toilettes propres. Pas d’écran TV en salle, et volume sonore modéré."
